"";"clusters";"items"
"1";"list(""natural silver finish"", ""natural silver cover"")";"list(""{silver}"")"
"2";"list(""hp envy m7-k111dx laptop"", ""hp pavilion 17-f115dx laptop"", ""hp envy 15-u010dx laptop"")";"list(""{hp,laptop}"")"
"3";"list(""i5-4210u mobile processor"", ""i7-4510u processor"")";"list(""{processor}"")"
"4";"list(""4th gen intel core i3-4030u processor"", ""4th gen intel core i3-4010u processor"", ""intel core i3 processor"")";"list(""{intel,core,processor}"")"
"5";"list(""intel core i5 processor"", ""intel core i3 processor"")";"list(""{intel,core,processor}"")"
"6";"list(""built-in dual speaker"", ""built-in media reader"")";"list(""{}"")"
"7";"list(""4th gen intel core i3-4030u processor"", ""4th gen intel core i3-4010u processor"", ""4th gen intel core i5-4210u processor"")";"list(""{gen,intel,core,processor,gen.intel.core}"")"
"8";"list(""intel core i5 processor"", ""4th gen intel core i5-4210u processor"")";"list(""{intel,core,processor}"")"
"9";"list(""hp pavilion 17-f115dx laptop"", ""hp pavilion 15-f010dx laptop"", ""hp envy 15-u010dx laptop"")";"list(""{hp,laptop}"")"
"10";"list(""secure digital memory card format"", ""secure digital format"")";"list(""{format}"")"
"11";"list(""hp pavilion 15-f010dx laptop"", ""hp 15-f004dx laptop"", ""hp envy 15-u010dx laptop"", ""hp 15-f019dx laptop"")";"list(""{laptop}"")"
"12";"list(""digital media reader"", ""built-in media reader"", ""multiformat media reader"")";"list(""{media,reader,media.reader}"")"
"13";"list(""12gb ddr3l sdram"", ""6gb ddr3l sdram"")";"list(""{ddr3l,sdram}"")"
