Features;HpENVYx360;HpENVY17.3;Hp5.6i3;HpPavilion15.6;HpPavilion17.3;Hp5.6AMD
wirelessly transfer photos;1;0;0;0;0;0
social media sites;1;0;0;0;0;0
video-editing applications;1;0;0;0;0;0
wireless display widi;1;0;0;0;0;0
simple voice commands;1;0;0;0;0;0
ultra-low-voltage platform;1;0;0;0;0;0
natural finger-touch navigation;1;0;0;0;0;0
hp envy 15-u010dx laptop;1;0;0;0;0;0
bluetooth wireless accessories;1;0;0;0;0;0
8gb system memory;1;0;0;0;0;0
built-in dual speakers;1;0;0;0;0;0
gigabit ethernet lan port;1;0;0;0;0;0
voice recognition software;1;0;0;0;0;0
4th gen intel;1;1;0;0;0;0
memory-intensive tasks;1;0;0;0;0;0
multimedia software package;1;0;0;0;0;0
headphone-out combo jack;1;0;0;0;0;0
high-speed devices;1;0;0;0;0;0
high-quality images;1;0;0;0;0;0
island-style keyboard;1;0;1;1;1;1
bluetooth-enabled cell phone;1;0;0;0;0;0
other wi-fi networks;1;0;0;0;0;0
8.1 operating system;1;0;0;0;0;0
bluetooth interface syncs;1;0;0;0;0;0
registered trademark of intel corporation;1;1;1;1;1;0
typo-free access;1;0;0;0;0;0
horizontal brushing in natural silver;1;0;0;0;0;0
responsive touch screen;1;0;0;0;0;0
3-cell prismatic battery;1;0;0;0;0;0
built-in hp truevision hd webcam;1;0;0;0;0;0
high-def monitor;1;0;0;0;0;0
i5-4210u mobile processor;1;0;0;0;0;0
2-finger multitouch support;1;0;0;0;0;0
intel turbo boost technology;1;0;0;0;1;0
graphics-heavy gaming;1;0;0;0;0;0
dual-array digital microphone;1;0;0;0;0;0
energy-efficient led backlight;1;0;0;0;0;0
750gb hard drive;1;0;0;0;0;0
5400 rpm spindle speed;1;0;0;0;0;0
intel inside logo;1;1;1;1;1;0
respectable amount of viewing space;1;0;0;0;0;0
1920 x 1080 resolution;1;1;0;0;0;0
hp coolsense technology;1;0;0;0;0;0
wireless-ac connectivity;1;0;0;0;0;0
wireless-ac router;1;0;0;0;0;0
2 screen side;1;0;0;0;0;0
substantial high-bandwidth ram;1;0;0;0;0;0
dynamic extra power;1;0;0;0;0;0
wide-type touchpad;1;0;0;0;0;0
built-in media reader;1;0;0;0;0;0
quickly input numbers;1;0;0;0;0;0
hd graphics 4400 ;1;0;0;0;0;0
sizeable collection of digital photos;1;0;0;0;0;0
secure windows account;1;0;0;0;0;0
password-protected websites;1;0;0;0;0;0
familiar windows desktop experience;1;0;0;0;0;0
secure digital memory card format;1;0;0;0;0;0
fourth-generation on-processor graphics;1;0;0;0;0;0
hp simplepass fingerprint reader;1;0;0;0;0;0
simple photo transfer;1;0;0;0;0;0
subsidiarie in the united states;1;1;1;1;1;0
separate wireless display adapter;1;0;0;0;0;0
maximum high-efficiency power;1;0;0;0;0;0
15.6  full hd touch screen;1;0;0;0;0;0
built-in 10-key numeric keypad;1;0;0;0;0;0
low-voltage processors;1;0;0;0;0;0
dragon voice recognition capability;1;0;0;0;0;0
lot of file storage space;1;0;0;0;0;0
built-in intel widi;1;0;0;0;0;0
reduced power consumption;1;0;0;0;0;0
multiformat media reader;0;1;0;0;0;0
media in sharp detail;0;1;0;0;0;0
efficient multiway processing;0;1;0;0;0;0
microsoft windows 8.1 ;0;1;1;1;1;1
dragon assistant voice recognition software;0;1;0;0;0;0
increased energy efficiency;0;1;0;0;1;0
secure digital format;0;1;0;1;0;0
turbo boost technology;0;1;0;0;0;0
4096mb total available video memory;0;1;0;0;0;0
natural silver cover;0;1;0;0;0;0
ultimate smart performance;0;1;0;0;0;0
1-month trial of microsoft office;0;1;1;1;1;1
cd-rw drive;0;1;1;1;1;1
3 superspeed usb 3.0 ;0;1;0;0;0;0
1000 gigabit ethernet lan;0;1;0;0;0;0
fast digital video;0;1;0;1;0;0
1tb hard drive;0;1;0;0;0;0
simple wireless pairing;0;1;0;0;0;0
sc turbo boost up to 3.1 ghz;0;1;0;0;0;0
rj-45 connector;0;1;1;1;1;1
built-in 2x2 high-speed wireless lan 802.11 ;0;1;0;0;0;0
8.1 64-bit operating system;0;1;1;1;1;1
hp envy m7-k111dx laptop;0;1;0;0;0;0
17.3  wled-backlit high-definition touch-screen display;0;1;0;0;0;0
built-in front-facing hp truevision high-definition webcam;0;1;0;0;0;0
nvidia geforce graphics;0;1;0;0;0;0
microsoft office 365 ;0;1;1;1;1;1
natural silver finish;0;1;0;0;0;0
other bluetooth-enabled devices;0;1;0;0;0;0
bluetooth interface;0;1;0;0;0;0
feature 2048mb ddr3 dedicated video memory;0;1;0;0;0;0
25gb of dropbox online storage;0;1;0;0;0;0
integrated dual-array digital microphone;0;1;0;0;1;0
2.0 ghz processor speed;0;1;0;0;0;0
hp protectsmart hard drive protection;0;1;0;0;0;0
12gb ddr3l sdram;0;1;0;0;0;0
17.3  wled-backlit touch screen;0;1;0;0;0;0
i7-4510u processor;0;1;0;0;0;0
hard drive 5400 ;0;1;0;1;0;0
intel hd graphics;0;0;1;1;1;0
smart 4-way processing performance;0;0;1;1;1;0
fast digital data transfer;0;0;1;0;1;1
4th gen intel core i3-4030u processor;0;0;1;0;0;0
simple data entry;0;0;1;1;1;1
environmental protection agency;0;0;1;0;1;1
built-in 1x1 high-speed wireless lan 802.11 ;0;0;1;1;1;1
web content in striking clarity;0;0;1;1;0;0
u.s. department of energy;0;0;1;0;1;1
500gb serial ata hard drive;0;0;1;0;0;1
hp 15-f019dx laptop;0;0;1;0;0;0
hd quality computing;0;0;1;1;0;0
6gb ddr3l sdram;0;0;1;0;1;0
15.6  wled-backlit high-definition display;0;0;1;0;0;1
other high-definition display;0;0;1;1;0;1
strict energy efficiency guidelines;0;0;1;0;1;1
serial ata hard drive 5400 ;0;0;1;0;1;1
